Fecha de Atencion,De 0 a antes de 1,De 01 a 05 ,De 06 a 09,De 10 a 14,De 15 a 18 ,De 19 a 26,De 27 a 44,De 45 a 59,De 60 y mas,No Definido,Total general
7/18/15,5.057,19.879,12.761,14.113,12.295,27.924,54.297,36.666,33.992,,216.566
7/19/15,1.886,8.487,4.343,4.711,4.83,10.129,16.785,10.632,12.202,,73.821
7/20/15,1.976,8.604,4.301,4.834,4.781,10.374,16.684,10.683,12.921,,74.984
7/21/15,12.768,48.99,26.584,27.64,27.467,64.367,123.967,95.312,96.384,,522.469
7/22/15,12.324,49.365,27.253,28.864,28.485,65.315,124.222,96.063,96.675,,527.55
7/23/15,11.489,46.952,26.275,28.368,27.962,64.479,122.393,94.926,93.486,,515.413
7/24/15,10.695,43.415,24.932,26.359,26.564,61.706,118.598,90.811,87.03,,489.204
7/25/15,5.409,21.315,13.481,15.547,13.343,29.251,56.863,39.154,36.468,,230.439
7/26/15,2.092,9.217,4.652,5.402,5.07,10.558,17.415,11.055,13.235,,78.495
7/27/15,11.89,47.28,26.549,27.835,27.042,62.796,121.949,94.629,93.213,,512.132
7/28/15,12.091,48.814,27.286,28.507,27.615,64.806,124.564,96.954,94.93,,524.57
7/29/15,11.701,47.526,25.9,28.32,26.977,61.857,119.559,93.339,89.669,,503.904
7/30/15,10.772,43.34,24.08,25.753,24.748,58.929,112.156,87.206,85.084,,471.139
7/31/15,10.574,43.512,24.462,26.677,24.432,59.511,114.793,88.646,85.178,,476.56
8/1/15,3.648,17.477,9.669,10.63,9.726,22.047,42.761,31.756,33.012,,180.322
8/2/15,1.526,7.475,3.917,4.411,4.13,8.716,14.188,9.084,10.714,,64.024
8/3/15,7.959,38.611,22.734,22.825,22.079,49.057,91.213,74.255,75.908,,403.797
8/4/15,7.99,41.164,23.12,23.597,22.541,49.891,94.973,76.399,78.634,,417.425
8/5/15,7.664,40.357,22.867,23.625,22.554,50.721,95.052,76.08,78.779,,416.794
8/6/15,7.573,36.579,20.897,21.821,21.728,48.092,88.548,70.437,73.165,,387.97
8/7/15,1.715,10.352,5.798,6.318,6.119,12.155,19.573,13.159,15.177,,90.166
8/8/15,3.185,15.414,9.459,10.819,9.416,20.587,38.57,27.407,26.351,,160.776
8/9/15,1.504,13.395,7.164,7.611,7.502,14.601,23.557,17.614,19.931,,112.708
8/10/15,8.086,47.044,26.992,27.211,25.567,55.647,106.214,86.978,90.966,,473.729
8/11/15,8.165,41.599,23.827,24.183,22.867,49.192,93.651,76.089,79.351,,418.05
8/12/15,7.719,40.205,23.336,23.743,22.39,49.21,92.755,74.453,80.519,,413.382
8/13/15,7.767,39.475,22.619,23.05,22.426,49.011,92.767,75.283,78.638,,410.085
8/14/15,7.188,35.894,20.396,21.767,21.009,45.771,86.578,69.028,70.983,,377.832
8/15/15,3.325,16.723,10.365,11.482,10.304,21.448,40.775,29.253,28.475,,171.778
8/16/15,1.486,7.507,3.715,4.328,4.28,8.798,13.726,8.91,10.789,,63.378
8/17/15,1.491,8.035,4.234,4.812,4.596,9.103,14.22,9.083,11.02,,66.438
8/18/15,8.932,41.793,23.152,23.026,22.253,48.739,92.852,75.66,80.203,,415.689
8/19/15,8.269,41.601,23.513,23.751,22.577,49.42,93.486,76.317,80.233,,418.233
8/20/15,8.185,40.946,23.012,23.458,22.489,49.102,94.018,76.147,78.807,,415.192
8/21/15,7.546,37.112,21.254,22.888,21.656,47.274,87.727,70.612,71.922,,387.186
8/22/15,3.706,17.69,11.116,12.18,10.869,22.148,42.511,30.842,29.42,,180.021
8/23/15,1.514,7.796,3.981,4.613,4.557,9.232,14.636,9.325,10.787,,66.315
8/24/15,8.462,40.177,22.635,23.729,22.363,48.721,92.547,75.62,77.601,,410.892
8/25/15,8.248,41.756,23.85,24.358,22.878,49.808,93.859,77.383,79.874,,421.086
8/26/15,7.726,40.263,22.97,23.857,22.772,48.056,91.433,75.525,77.083,,408.798
8/27/15,7.611,38.911,22.529,23.631,22.537,47.932,90.763,73.838,75.524,,402.372
8/28/15,6.887,36.177,21.113,22.371,21.091,45.769,85.03,68.704,69.455,,375.687
8/29/15,3.544,19.342,11.362,12.645,10.985,22.044,42.046,31.886,29.967,,183.323
8/30/15,1.364,6.37,2.781,2.862,3.171,7.245,11.582,8.012,9.244,,52.454
8/31/15,7.57,38.627,21.184,21.489,20.639,46.958,90.405,74.576,76.545,,397.078
9/1/15,5.691,30.602,17.112,17.118,16.244,38.076,73.69,60.857,61.781,,320.538
9/2/15,5.193,29.226,17.355,17.437,15.913,37.023,72.755,58.059,57.552,,309.93
9/3/15,5.343,29.772,16.546,17.948,16.101,38.159,73.055,58.148,59.186,,313.613
9/4/15,4.759,27.823,15.786,16.877,15.622,36.26,68.803,54.787,53.77,,293.834
9/5/15,2.274,13.845,8.6,9.609,8.183,17.352,33.062,23.97,22.028,,138.546
9/6/15,897,7.655,4.122,4.613,4.262,8.83,13.742,9.391,10.178,,63.567
9/7/15,5.572,31.533,18.477,19.109,17.287,39.176,76.043,60.693,61.324,,328.605
9/8/15,5.448,31.068,17.775,18.293,16.771,38.531,74.188,59.85,60.052,,321.361
